raw_code,standard_code,primary_name,standard_name,primary_count,total
000089.SZ,000089.SZ,特变电工,深圳机场,1,1
000519.SZ,000519.SZ,贵州茅台,中兵红箭,1,1
000672.SZ,000672.SZ,国科微,上峰水泥,1,1
002082.SZ,002082.SZ,万邦德,ST万邦,6,6
002250.SZ,002250.SZ,科达利,联化科技,1,1
002385.SZ,002385.SZ,杭叉集团,大北农,1,1
002396.SZ,002396.SZ,兆易创新,星网锐捷,1,1
002602.SZ,002602.SZ,ST华通,世纪华通,86,97
002852.SZ,002852.SZ,伊戈尔,道道全,1,1
002910.SZ,002910.SZ,雅克科技,庄园牧场,1,1
003008.SZ,003008.SZ,中际旭创,开普检测,1,1
300115.SZ,300115.SZ,环旭电子,长盈精密,1,1
300166.SZ,300166.SZ,N大普微,东方国信,1,1
300359.SZ,300359.SZ,药明康德,全通教育,1,1
300558.SZ,300558.SZ,圣泉集团,贝达药业,1,1
300732.SZ,300732.SZ,爱旭股份,设研院,1,1
301666.SZ,301666.SZ,大普微,大普微-UW,31,35
600050.SH,600050.SH,天孚通信,中国联通,1,1
600073.SH,600073.SH,西藏城投,光明肉业,1,1
600201.SH,600201.SH,新和成,生物股份,1,1
600248.SH,600248.SH,亨通光电,陕建股份,1,1
600273.SH,600273.SH,西藏城投,嘉化能源,1,1
600338.SH,600338.SH,潍柴动力,西藏珠峰,2,2
600346.SH,600346.SH,恒力石化,XD恒力石,18,18
600369.SH,600369.SH,纽威股份,西南证券,1,1
600399.SH,600399.SH,纽威股份,抚顺特钢,2,2
600516.SH,600516.SH,华通线缆,方大炭素,1,1
600737.SH,600737.SH,锡业股份,中粮糖业,1,1
600741.SH,600741.SH,兴发集团,华域汽车,1,1
600807.SH,600807.SH,济川药业,济高发展,1,1
600848.SH,600848.SH,广钢气体,上海临港,1,1
600885.SH,600885.SH,华发股份,宏发股份,1,1
600889.SH,600889.SH,建滔积层板,*ST京化,1,1
600909.SH,600909.SH,九号公司,华安证券,2,2
601211.SH,601211.SH,国泰君安,国泰海通,24,24
601330.SH,601330.SH,博纳影业,绿色动力,1,1
601390.SH,601390.SH,湖南黄金,中国中铁,1,1
603233.SH,603233.SH,安井食品,大参林,1,1
603316.SH,603316.SH,晶盛机电,诚邦股份,1,1
603325.SH,603325.SH,澜起科技,博隆技术,1,1
603435.SH,603435.SH,C嘉德,嘉德利,4,7
603737.SH,603737.SH,三棵树,DR三棵树,146,146
603988.SH,603988.SH,中国银行,中电电机,1,1
688009.SH,688009.SH,九号公司,中国通号,3,3
688055.SH,688055.SH,亚盛医药-B,龙腾光电,1,1
688077.SH,688077.SH,海泰新光,大地熊,1,1
688138.SH,688138.SH,安集科技,清溢光电,1,1
688188.SH,688188.SH,电科蓝天,柏楚电子,1,1
688213.SH,688213.SH,思特威,思特威-W,116,119
688270.SH,688270.SH,臻镭科技,ST臻镭,2,2
688272.SH,688272.SH,拓荆科技,富吉瑞,1,1
688339.SH,688339.SH,固德威,亿华通-U,1,1
688370.SH,688370.SH,信科移动,丛麟科技,1,1
688387.SH,688387.SH,信科移动,信科移动-U,2,2
688589.SH,688589.SH,宏华数科,力合微,1,1
688702.SH,688702.SH,盛科通信,盛科通信-U,3,3
688720.SH,688720.SH,臻镭科技,艾森股份,1,1
688795.SH,688795.SH,亚盛医药-B,摩尔线程-U,1,1
688802.SH,688802.SH,睿创微纳,沐曦股份-U,1,1
689009.SH,689009.SH,九号公司,九号公司-WD,115,115
